Run,T_in,P_in,x_Benzene_in,N_Stages,Feed_Tray,Reflux,B_Draw,Qc_kW,Qr_kW,xD_Benzene,xB_Toluene
1,367.8145313833216,225631.02033472792,0.6234002893520587,17,7,2.112789671105736,52.224245840224874,4423.460073012233,5378.967978727356,0.9950569550500659,0.7165984450777901
2,362.5374765360773,159130.57314974218,0.5838056236451462,13,9,4.561954285624324,50.84776108657171,4551.951611916717,5543.347141317621,0.9939912854184663,0.8127023683589171
3,360.5364670118138,229071.63831162764,0.6421557318809439,14,8,4.197507846732677,46.55328368048288,4946.567301347647,5896.020637616848,0.9968863232020003,0.7651020120579175
4,367.8538484664512,160408.34326352197,0.534275565873944,23,8,5.472246783002303,62.96206976366186,3429.452770620308,4441.508668819908,0.994805506775111,0.7366347756518227
5,362.57911588204047,136806.69139057194,0.5666143318167853,17,15,5.068493688308184,46.53213216596426,5043.336338247253,6038.455040631734,0.9026673317262127,0.8195282442486879
6,365.428125602649,164971.6969953869,0.4877354707916504,18,9,4.365012708436939,48.82969721060525,4784.525282411634,5863.987905857271,0.9478293117866772,0.9944125354453781
7,361.8424574712996,174644.09782937865,0.6007197929060367,16,9,5.209902945124839,51.286212500621566,4507.591573062237,5484.093715864692,0.9978457674238672,0.7764870506079281
8,362.9077756543545,217127.52763426438,0.4548753310878301,20,16,3.957640912043267,45.215765068832724,5265.385514559677,6344.235968027411,0.7945722212503997,0.9567075362534018
9,361.32454409660875,166759.70860506492,0.4903407419508392,16,10,2.7496639601414596,58.42172184426069,3848.7272702222317,4909.121401697508,0.9961650580119578,0.8696504299489725
10,362.00881054504197,222180.68465468497,0.4574659859781995,13,11,4.495728951589229,63.438101799426676,3445.53749622925,4510.200638723509,0.9075215813203225,0.8019189324660275
11,362.58717156588614,183124.5355169705,0.4635785155367871,21,12,4.087685393077657,52.35890829601807,4439.001471446094,5537.308529452062,0.9650222714607014,0.9926824864172403
12,363.8193073629268,236955.03688359557,0.6126814753197078,14,12,4.766911194610373,53.68868479330905,4288.155958290173,5250.143145812978,0.9947484891529591,0.7168856574164724
13,361.4907596005625,193917.6056605673,0.5097462304823537,23,20,2.2840682109501715,54.30666497832752,4266.077551062674,5309.479375933132,0.955192824451266,0.8650501312646701
14,362.3251534672685,242028.0516332265,0.5150998277900279,18,7,3.972761329355837,55.05284582466722,4165.156762137346,5209.542756448578,0.9910465605002775,0.8734804690853532
15,360.96356641138755,155212.30415228073,0.6058417574691948,13,4,4.609662625331612,56.37823380512338,4055.8339583922434,5016.715740439269,0.9753043374337947,0.680024066860832
16,366.08503974868773,222785.11040777387,0.6326043803659827,21,11,2.60694668079555,57.349511844368365,3945.215724453193,4887.672290926885,0.9993941368746302,0.6401749626915892
17,366.0991087342658,208480.96975702676,0.49309590858084756,19,17,4.729371884982782,48.16281334117265,4965.033218413728,6005.734718916124,0.8156940867115677,0.8541135008259775
18,367.5477267820416,217065.39596686768,0.4627336767818083,21,16,2.0414009192863913,59.839876366421635,3714.9260580650284,4798.763591950487,0.9993052755497164,0.8973737140291758
19,369.9210723036953,190367.51913298317,0.6469600178531125,19,17,2.1544690652606304,56.29469509947832,4042.353070365003,4975.2658740067345,0.9998884729296335,0.627041745722159
20,362.21446651023183,217242.97776557537,0.49105782446646923,19,12,4.751644593188518,60.295559430944294,3673.039093826932,4728.712767010709,0.9989730163761461,0.843402768347114
21,361.0001070649349,134341.64603139233,0.5575056646128604,19,17,2.0232530859910907,49.49919451092563,4749.776508069897,5751.117391697581,0.9178449918202904,0.8101250908602784
22,367.4292997274501,132739.76909018945,0.5144066762053648,18,8,3.374136536369379,50.77328739424605,4558.813624860462,5617.152472818865,0.9940268662510385,0.9506040896321158
23,361.5987145765584,155334.58207318396,0.467010048812232,22,13,5.88840564655969,47.38994034939478,4979.090349771666,6066.031687660843,0.8845535992272204,0.996526957820414
24,366.6146478198913,163226.04498468246,0.6264511118605495,16,11,3.9163355248695355,62.48759280608625,3470.0244596981884,4411.863645527286,0.9992791009065233,0.5973641242581078
25,362.0024462254864,199783.39090857905,0.5866155173470277,20,18,2.0786315484009705,60.26845746744702,3674.8486631425953,4649.237695938113,0.9998467101107624,0.6858041429692565
26,360.1348388347698,210836.5759992421,0.45642424175293794,21,9,2.243055391582852,45.61446403792265,5188.8519509032585,6278.334958008085,0.8388741304503297,0.9995658178507898
27,367.74898022753064,170005.63560503637,0.4853864659001583,18,16,4.493706277399239,54.297257331615036,4342.49169781797,5389.72119856772,0.8625830824182376,0.8321050750598318
28,363.82492383072963,129586.53548083019,0.49299052860212345,22,20,5.769699873459488,46.237216574221094,5164.592471313676,6204.522955323585,0.7977276101194529,0.8613455437070918
29,367.35015820717416,198575.39561617502,0.5285631126029984,19,9,3.470829537432195,50.07303218635316,4620.88426893844,5667.748317453843,0.9968117649294544,0.9383196458941991
30,369.2206155863638,196259.31773984013,0.5371363027292607,24,5,4.852566461034748,64.97072123220697,3255.1845357985044,4259.836167863473,0.9778586871133412,0.700481303617145
31,367.65750946246976,249561.53348766896,0.5449042252177316,20,15,5.669149792267037,62.811532960245025,3439.638384269609,4443.869554998075,0.9998416485087845,0.7244479872390344
32,366.13364394734054,199591.64344608743,0.5693081275320745,16,14,5.376938067432566,58.331731763717606,3857.593104298392,4848.113676865345,0.995522030299882,0.7351504354074604
33,368.0425709188493,190930.22345491956,0.5111603993246878,14,3,4.947198007053268,63.573491775680694,3411.899942435017,4434.758330414613,0.9390710138554985,0.734024961493335
34,367.78034690610417,236475.22814402933,0.6102149853849274,15,8,5.566090155304817,50.44809189704203,4586.378389292904,5556.025880434719,0.9966031486708296,0.7693091955947885
35,363.60976838536357,143116.7616575506,0.6031998914767449,20,18,5.058950717278188,58.67010746393296,3822.6600861730703,4786.1366367812725,0.9998745264497649,0.6762357656898269
36,366.2332365026993,244674.6367661323,0.5635609113353324,22,15,3.2115003202378505,56.2998261132457,4041.8817392823476,5041.444065257171,0.9998847832590937,0.7751156066970636
37,363.0834422661856,155267.4567432514,0.5809483740351242,22,9,3.2600893362627845,59.53810830319181,3744.171265845806,4723.7520348329035,0.9976665893734469,0.7022518783350453
38,365.7550640150559,149469.92417015505,0.5501729768889383,13,11,5.304447388297495,48.23875160335515,4888.745257808511,5894.171201260917,0.8956634835411249,0.8205459853377443
39,368.3089308136865,185864.11673441652,0.6176014754278217,20,5,4.048478993181149,52.11365694917001,4442.128687522646,5400.9976838505,0.986191618974292,0.7210896679750664
40,367.88392030528576,143363.69278732917,0.49200258614908343,18,16,5.549574298557525,64.58494309902065,3299.2603305183247,4340.254464178173,0.9658599009414821,0.7678363633191959
41,362.3330405183545,228587.3109794135,0.6015275407392071,18,15,3.6921283308906334,46.00104883198443,5003.531865510335,5989.050854465463,0.9914524742809987,0.856191097860123
42,365.0365893284823,168216.6668441074,0.4855155900229839,22,19,5.62700922791824,55.606240698838214,4162.662743571513,5221.419696423671,0.9335746020323231,0.8721964883674308
43,367.25965802712165,170383.80863688496,0.6323227122116315,22,18,5.973064398939741,49.27693709337508,4691.3486982330405,5645.025774252457,0.9999715487397713,0.7461154814493542
44,366.5911993842796,220849.94787675457,0.567092791040231,18,9,5.314092449786683,61.23049504162256,3587.755434373486,4576.016648223188,0.9974215422231536,0.705379816626553
45,363.77471868395946,209482.07570633967,0.48156452761120067,13,11,4.298962188015945,62.187195737119225,3548.708989512108,4597.435899828128,0.9290768955583886,0.7905445034172691
46,363.7562181414616,135891.21677899972,0.551702307731131,17,5,3.5070514749434665,57.506475791461895,3946.619210644192,4950.855114600329,0.9805060150739419,0.7651555846697476
47,367.9058659764229,156759.74440286323,0.5189045901338395,21,3,4.23769813480866,60.832432481011246,3666.345650225546,4687.093601826292,0.9422269116426725,0.7536557026863641
48,360.1720514118752,216166.3728294833,0.4624845882462158,22,9,4.529170380977432,46.00411244523318,5136.159683982036,6223.399881542631,0.856294157701447,0.999737071950147
49,367.3746247915761,181432.75914374588,0.6051206151486656,15,12,4.636144834981081,54.684056440585266,4192.41903090963,5159.7092965901775,0.9986846127257674,0.7210205869144637
50,365.64016687018125,184935.00682888448,0.5814227975664223,17,13,5.079606463829447,52.04505791783225,4436.014529704143,5428.1601794182,0.9992580366378147,0.8035756151779123
51,363.9997269794175,215590.42996048715,0.4669871889955881,13,6,3.556532506607095,61.68911460010993,3560.476868818064,4631.284698446041,0.977402824123652,0.8499970152755358
52,360.4672441954791,127238.32722877625,0.5139263796081159,13,11,2.082565292264205,58.307683115758486,3906.3385979399136,4934.631682852195,0.9374974566055432,0.7889438189918934
53,360.83874620740994,206880.60772433516,0.45311852328636965,23,16,2.7106000271629282,50.0099391991596,4723.318874179514,5819.796662759479,0.8935401237496196,0.9871280144564979
54,362.062426509424,196066.73029745056,0.6388551077513724,24,14,4.964863515351739,64.98529653523737,3238.559650591636,4169.575276356436,0.9998740802902389,0.5556653906159992
55,367.3715581302865,148136.52468955127,0.5285874122519946,22,4,4.6764447482317895,56.47653606598428,4054.5297601100056,5078.218312480471,0.9659894727300453,0.8084951025403211
56,366.81930727418427,196456.34189465374,0.5714170753079065,18,14,4.880283303488077,58.81921060725684,3809.0190623770827,4797.6756097112375,0.9996936910240393,0.7284300143003792
57,364.5695313381495,139960.04016795458,0.6366123992533097,23,7,5.495432478227906,54.26227262814647,4234.515655191788,5176.913550381948,0.9953279561992066,0.6657493256244641
58,362.311798269558,151180.67667857735,0.4832296338184085,12,3,3.830783175677268,62.44475865055048,3522.3549716182024,4569.672658369481,0.9322448924797655,0.7868150708617778
59,364.56425370870033,167789.07664609922,0.5861964975561345,21,10,2.6804724616376174,57.91821719671913,3893.2220278685404,4871.0493102956425,0.998669917740161,0.7134953389752986
60,364.83712093748466,165736.5095265003,0.608335219688303,20,13,3.1684105953390267,56.56361203146029,4017.5998636340246,4979.78933992639,0.9997519697521234,0.6922419394134507
61,368.76172466887414,197005.9598440596,0.4657496726634668,22,18,4.295035200684749,55.87923165780589,4126.103554574022,5206.3881996190285,0.946954039419287,0.9141966107947805
62,364.8802809179276,215903.37751170056,0.517777436502588,19,17,3.5164434360110253,62.327581618030976,3499.7573328272956,4524.478123432445,0.9792823485803887,0.7611681872772228
63,363.62756737476224,127144.85035467602,0.6125769361681161,12,10,3.5360433414719616,51.45193252859129,4506.687731117198,5470.092423401664,0.982870653540065,0.7368179940461456
